experiment,model,epochs,batch,optimizer,mAP50,mAP50-95
yolo11m_b8,yolo11m.pt,450,8,auto,0.7985054684040674,0.6149005379944661
yolo11m_b16,yolo11m.pt,450,16,auto,0.7979664789950944,0.6107523450289887
yolo11m_b32,yolo11m.pt,450,32,auto,0.781578332384652,0.6022330245363897
yolo11m_b64,yolo11m.pt,450,64,auto,0.7892661627005834,0.5975448316740966
yolo11n_b8,yolo11n.pt,450,8,auto,0.7932975239544603,0.6137701943119577
yolo11n_b16,yolo11n.pt,450,16,auto,0.7916043908083289,0.6108621520888486
yolo11n_b32,yolo11n.pt,450,32,auto,0.7843221926642944,0.5956795844874271
yolo11n_b64,yolo11n.pt,450,64,auto,0.7714000982041646,0.5871937765844024
yolo11s_b8,yolo11s.pt,450,8,auto,0.7956878265072986,0.6130828119057258
yolo11s_b16,yolo11s.pt,450,16,auto,0.7952717534618218,0.6041934834000586
yolo11s_b32,yolo11s.pt,450,32,auto,0.7875271303820256,0.5990896509211906
yolo11s_b64,yolo11s.pt,450,64,auto,0.78844345993177,0.5966478404381473
